conc,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
5.4,0.091477,0.0845277,0.0827695,0.0822694,0.0826868,0.0903954,0.12897,0.232774,0.348004,0.462098,0.580398,0.585375
5.4,0.0907472,0.0847289,0.0833113,0.082728,0.0832593,0.0928594,0.138815,0.304961,0.479398,0.558699,0.571081,0.576874
5.4,0.0915232,0.0836439,0.0818028,0.0810319,0.0819471,0.0890688,0.152542,0.266043,0.433609,0.525571,0.576842,0.587854
5.4,0.0918371,0.084352,0.0830006,0.0819637,0.0824455,0.087293,0.12019,0.225508,0.34329,0.467603,0.541229,0.575863
5.4,0.0914772,0.0853025,0.083235,0.082822,0.0836752,0.0918847,0.140153,0.314796,0.46744,0.600189,0.613092,0.639807
5.4,0.0922091,0.0852928,0.0835957,0.0831234,0.0834702,0.0903229,0.134104,0.29404,0.450798,0.600258,0.64952,0.65971
2.7,0.0929193,0.085233,0.0842469,0.0834107,0.0836435,0.0923149,0.132594,0.309468,0.412421,0.56915,0.630268,0.625094
2.7,0.0918764,0.0841419,0.0826834,0.0820005,0.0825429,0.0885667,0.126257,0.245796,0.489845,0.595497,0.625138,0.620987
2.7,0.0915368,0.0852002,0.0837922,0.0833337,0.083378,0.0887031,0.122406,0.226462,0.399174,0.590882,0.610881,0.610439
2.7,0.0915083,0.0844612,0.0830003,0.0831925,0.0830359,0.0909881,0.130105,0.250674,0.363277,0.471559,0.530235,0.548678
2.7,0.0915285,0.0855784,0.0842364,0.0837641,0.0839643,0.0892665,0.126804,0.270354,0.390761,0.494519,0.575553,0.640976
2.7,0.0928063,0.0852977,0.0832451,0.0825445,0.0831209,0.0910101,0.136097,0.298704,0.442141,0.567865,0.60289,0.599195
1.35,0.0918011,0.0837097,0.0825637,0.0823811,0.0836241,0.0885697,0.130546,0.329192,0.491494,0.533597,0.576606,0.576601
1.35,0.0920956,0.0835801,0.0828126,0.0823013,0.083028,0.0921912,0.136391,0.27194,0.354273,0.462486,0.592242,0.614049
1.35,0.0915102,0.0842186,0.0833411,0.0824122,0.0827002,0.0872875,0.124775,0.253786,0.357113,0.490252,0.57448,0.603607
1.35,0.0917577,0.0829689,0.0817081,0.0814316,0.0818853,0.0897284,0.135333,0.334869,0.499071,0.5515,0.587745,0.587406
1.35,0.0916406,0.0847951,0.0843777,0.0833963,0.0839731,0.0908189,0.141694,0.308271,0.444769,0.529518,0.614082,0.611615
1.35,0.0926634,0.0858508,0.0836193,0.0832052,0.0836727,0.0900551,0.127225,0.263962,0.3773,0.51552,0.527213,0.571116
0.675,0.0941283,0.0860417,0.0850929,0.0832554,0.0847567,0.0906688,0.124838,0.257344,0.357317,0.521538,0.61375,0.619716
0.675,0.0918382,0.084725,0.0826645,0.0822039,0.0825888,0.0888568,0.129705,0.341768,0.50683,0.598342,0.632887,0.648119
0.675,0.0916467,0.0848268,0.084083,0.0834618,0.0836938,0.089451,0.133095,0.298169,0.413049,0.468555,0.568078,0.593912
0.675,0.0939076,0.0846171,0.0827373,0.0825336,0.0828524,0.0880346,0.124637,0.243604,0.343689,0.45663,0.558007,0.605779
0.675,0.091557,0.0843605,0.0828098,0.0822446,0.0831254,0.0890068,0.12696,0.282595,0.373096,0.480285,0.603278,0.640457
0.675,0.0932838,0.0870995,0.0847067,0.0840005,0.0841652,0.0915912,0.132754,0.264682,0.367162,0.489215,0.599028,0.607613
0.34,0.0937253,0.0863375,0.0849542,0.0839443,0.084149,0.0904975,0.13652,0.350359,0.537169,0.604947,0.614113,0.632672
0.34,0.09203,0.0842135,0.0827139,0.0821271,0.082488,0.0900021,0.127502,0.245386,0.340328,0.433276,0.540354,0.576043
0.34,0.0922395,0.0850513,0.0842515,0.0832901,0.0834579,0.0903008,0.13943,0.308176,0.401185,0.506017,0.574186,0.595313
