conc,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
1,0.0921433,0.0871572,0.0861726,0.0858023,0.0872155,0.102194,0.184808,0.411567,0.638496,0.701848,0.691485,0.750841
1,0.092333,0.0835281,0.0823044,0.0819798,0.0835167,0.0960908,0.165881,0.369987,0.546877,0.622374,0.65326,0.69207
1,0.0915858,0.0851395,0.0838648,0.0834921,0.0853319,0.0999034,0.179167,0.427044,0.697678,0.703241,0.712251,0.7415
1,0.091932,0.0848122,0.0829041,0.082148,0.0835125,0.0969695,0.158346,0.341714,0.507589,0.676501,0.712892,0.706456
1,0.0931544,0.0863944,0.0849814,0.0843517,0.086198,0.101091,0.207164,0.44648,0.571323,0.686553,0.70088,0.722561
1,0.0924018,0.0843913,0.0833665,0.0823622,0.084683,0.103469,0.190197,0.374483,0.550095,0.669881,0.681498,0.708357
0,0.0973766,0.100513,0.0990271,0.100456,0.100293,0.114315,0.192851,0.393996,0.578369,0.724318,0.764743,0.784709
0,0.0931526,0.0910147,0.0881573,0.0863626,0.0872644,0.0998871,0.176921,0.389905,0.547162,0.682257,0.725066,0.745425
0,0.094006,0.108114,0.101143,0.0992678,0.0988553,0.112918,0.199042,0.470241,0.68184,0.726978,0.767406,0.7809
0,0.0951692,0.0967476,0.090562,0.088609,0.0889326,0.102213,0.18314,0.434193,0.650789,0.701361,0.702778,0.737569
0,0.0959234,0.112446,0.102711,0.0997424,0.098583,0.115512,0.185945,0.38714,0.612186,0.70404,0.718482,0.763892
0,0.0920138,0.0908922,0.0874288,0.0860585,0.0868912,0.0994225,0.169925,0.351636,0.533164,0.682916,0.728123,0.761132
14,0.0966998,0.0819516,0.0802907,0.0794873,0.0800758,0.0912628,0.150919,0.323718,0.44525,0.619815,0.606892,0.668905
14,0.094686,0.0850948,0.0827801,0.0812747,0.0818204,0.0975546,0.186869,0.411802,0.618622,0.693992,0.675147,0.711161
14,0.094107,0.0848401,0.0822626,0.0813336,0.0823423,0.0983007,0.175685,0.390739,0.662433,0.692124,0.706136,0.720762
14,0.0938617,0.086625,0.0848791,0.0836813,0.0844439,0.103157,0.188468,0.421061,0.638391,0.684701,0.694741,0.727399
14,0.114999,0.097382,0.0908243,0.0884579,0.088481,0.100629,0.178708,0.418917,0.618801,0.666129,0.678561,0.716927
14,0.0922939,0.0841646,0.0822782,0.0819667,0.0825689,0.100367,0.196135,0.382994,0.696156,0.692234,0.689167,0.703204
13,0.0931269,0.0848322,0.0840211,0.0822455,0.0834318,0.101029,0.175272,0.360501,0.512392,0.665029,0.688758,0.692122
13,0.118629,0.088341,0.0852914,0.084333,0.085036,0.100634,0.184529,0.393524,0.552477,0.70105,0.72844,0.739555
13,0.125241,0.0932762,0.0885332,0.0859314,0.086918,0.100905,0.180493,0.415547,0.591617,0.658139,0.678889,0.691578
13,0.0942311,0.084984,0.0838428,0.0827763,0.0835574,0.096392,0.162708,0.354611,0.530046,0.662017,0.672681,0.684679
13,0.138803,0.108517,0.0938705,0.0896031,0.0893618,0.102265,0.175267,0.384484,0.611743,0.703876,0.746352,0.745129
13,0.0921607,0.08389,0.0821028,0.0816443,0.0833376,0.10068,0.196551,0.443603,0.564091,0.668614,0.70116,0.711824
12,0.114836,0.0882745,0.0861622,0.0843519,0.0857067,0.100837,0.184729,0.408545,0.606247,0.680651,0.707811,0.717543
12,0.133888,0.0902025,0.0865221,0.0850319,0.0853678,0.0998525,0.180592,0.413021,0.648704,0.710023,0.673911,0.682963
12,0.111556,0.0868442,0.0871529,0.0858648,0.0861612,0.0988441,0.165189,0.363426,0.58952,0.685062,0.701837,0.730915
12,0.10596,0.0862107,0.0834959,0.0831335,0.0837365,0.0967306,0.169905,0.422312,0.655017,0.707964,0.706777,0.736523
12,0.102189,0.0906712,0.0883845,0.0866291,0.0868008,0.0981064,0.165172,0.354783,0.592903,0.686632,0.718723,0.756492
12,0.0922081,0.0842373,0.0827543,0.0825415,0.0839205,0.0958196,0.158879,0.3377,0.608849,0.725736,0.732254,0.771055
11,0.142879,0.108262,0.0949242,0.0917119,0.090758,0.105501,0.190772,0.438482,0.634056,0.709816,0.693982,0.728535
11,0.131285,0.0886255,0.0862838,0.0860214,0.0869069,0.102347,0.190121,0.433042,0.628885,0.652761,0.648521,0.703862
11,0.126356,0.0896772,0.0883846,0.0904489,0.0895354,0.108282,0.220503,0.54102,0.763258,0.741228,0.715293,0.72953
11,0.112719,0.0877678,0.0864844,0.0862937,0.0872359,0.100439,0.177717,0.387333,0.64134,0.669089,0.660854,0.707369
11,0.0926759,0.0853038,0.0835573,0.0829657,0.0848458,0.101001,0.217136,0.476119,0.656268,0.686936,0.681645,0.721601
11,0.105038,0.0917789,0.0898566,0.0885335,0.0884356,0.0980264,0.16383,0.402944,0.613018,0.664917,0.637559,0.654672
10,0.141972,0.0925196,0.0895278,0.0917927,0.0930202,0.111522,0.184893,0.469548,0.702481,0.751181,0.764811,0.786456
10,0.128216,0.0864865,0.0843779,0.08364,0.0852842,0.101628,0.173867,0.39057,0.561542,0.680517,0.671407,0.718714
10,0.104741,0.0864777,0.084951,0.0877351,0.087253,0.0995651,0.160796,0.374398,0.622329,0.722505,0.731588,0.797141
