conc,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
0,0.0942942,0.104549,0.102469,0.100909,0.101264,0.109295,0.152065,0.288422,0.420193,0.518495,0.618835,0.642947
0,0.0936215,0.101796,0.0991895,0.0985959,0.0978422,0.103679,0.139614,0.256107,0.452345,0.645303,0.682765,0.682398
0,0.0956413,0.121385,0.119342,0.117237,0.117804,0.124445,0.182908,0.417946,0.6496,0.763171,0.775754,0.762025
0,0.0914658,0.118652,0.116177,0.115646,0.115795,0.122048,0.166787,0.330352,0.435925,0.653645,0.674327,0.654598
0,0.093631,0.107372,0.102326,0.101143,0.101266,0.107033,0.144838,0.284166,0.369958,0.495644,0.641789,0.662787
0,0.0932421,0.096203,0.0940506,0.0937334,0.094352,0.0994446,0.139892,0.310495,0.405048,0.50598,0.601945,0.628282
3.3,0.0925592,0.084425,0.0840392,0.0835776,0.0843223,0.0913607,0.139696,0.248081,0.361047,0.468254,0.572077,0.61996
3.3,0.0926111,0.085281,0.0845211,0.083548,0.0835379,0.0893139,0.127561,0.250702,0.362955,0.491755,0.571421,0.582177
3.3,0.0940921,0.0851131,0.0838393,0.0834503,0.0836592,0.0879921,0.123168,0.250093,0.484735,0.590946,0.614207,0.60032
3.3,0.0929164,0.0861199,0.0852039,0.0841249,0.0840408,0.0892776,0.131901,0.263414,0.388843,0.5932,0.625787,0.621188
3.3,0.0931901,0.0859605,0.0844275,0.0842206,0.0844132,0.0901486,0.129915,0.248655,0.384233,0.535258,0.610051,0.632989
3.3,0.0925135,0.0843881,0.083562,0.0827199,0.0831151,0.0894591,0.134587,0.369826,0.552656,0.638285,0.626954,0.620619
1.65,0.0935729,0.0849593,0.0835679,0.0828542,0.0832776,0.0903646,0.134953,0.261992,0.389842,0.585555,0.6548,0.637473
1.65,0.0924102,0.0869546,0.0862851,0.0841421,0.0889361,0.0943011,0.134166,0.306718,0.486061,0.6101,0.647892,0.648864
1.65,0.0930066,0.0849767,0.0835881,0.082599,0.0831518,0.0884165,0.134084,0.280363,0.388705,0.506056,0.58779,0.610254
1.65,0.0932631,0.0842062,0.0831013,0.0822242,0.0824887,0.0852981,0.112846,0.229823,0.446562,0.608963,0.756082,0.793954
1.65,0.0936835,0.0857444,0.0842575,0.0835284,0.0836217,0.0883624,0.125548,0.269534,0.535983,0.665841,0.666659,0.637918
1.65,0.0972868,0.088695,0.0872453,0.086688,0.0871023,0.0909562,0.119473,0.253952,0.385684,0.575106,0.64985,0.636472
0.825,0.0990677,0.089699,0.0873699,0.0866125,0.0872035,0.0945178,0.144344,0.355633,0.530023,0.635367,0.636829,0.627619
0.825,0.092503,0.0833781,0.0828408,0.081846,0.0822752,0.086723,0.117458,0.228205,0.380353,0.507333,0.579729,0.608059
0.825,0.0933966,0.0856353,0.0874218,0.0868931,0.0853011,0.0918333,0.142019,0.302756,0.42986,0.513656,0.620481,0.60385
0.825,0.094173,0.0855145,0.0838814,0.0836774,0.0843988,0.091714,0.142984,0.322759,0.453254,0.520504,0.649562,0.679435
0.825,0.0930496,0.0855929,0.0838009,0.0832799,0.083763,0.0900274,0.141746,0.380314,0.512724,0.638589,0.660719,0.643135
0.825,0.0936063,0.0846932,0.0835339,0.0830819,0.0827734,0.0899375,0.136695,0.272438,0.411851,0.506053,0.570427,0.577932
0.4125,0.0945396,0.0872874,0.08559,0.0852691,0.0851733,0.0902851,0.131997,0.31276,0.466736,0.595107,0.619695,0.632165
0.4125,0.099834,0.091514,0.0907128,0.0901163,0.0906836,0.0957263,0.129204,0.280031,0.377548,0.497604,0.588228,0.637421
0.4125,0.0944358,0.0870749,0.0861086,0.0852447,0.085578,0.0912593,0.143282,0.314078,0.492637,0.626833,0.664185,0.690404
0.4125,0.0984115,0.0895501,0.0887549,0.0879058,0.0885835,0.0944424,0.139301,0.288718,0.388128,0.501912,0.618318,0.658651
0.4125,0.0935192,0.0864427,0.0858337,0.0849076,0.0852233,0.0917837,0.1374,0.324091,0.489252,0.769507,0.673584,0.686481
0.4125,0.0923545,0.0833254,0.0825208,0.0815305,0.0815778,0.0848897,0.113487,0.196764,0.298092,0.388239,0.500104,0.568899
0.206,0.0950087,0.0875348,0.085404,0.0840675,0.0846991,0.0927356,0.15037,0.370714,0.525479,0.548611,0.591158,0.59336
0.206,0.0928354,0.0853866,0.0838504,0.0829202,0.0834053,0.088771,0.127286,0.281737,0.375712,0.478016,0.592856,0.588589
0.206,0.0934523,0.084626,0.0832054,0.0820477,0.0827469,0.0870568,0.130143,0.253529,0.4145,0.502434,0.535977,0.568201
0.206,0.101855,0.0946307,0.093346,0.0933851,0.0934849,0.098992,0.144744,0.314406,0.422989,0.530212,0.629111,0.631265
0.206,0.0930516,0.0865969,0.0850818,0.0836972,0.0850711,0.0888302,0.126775,0.309817,0.390804,0.487195,0.58143,0.618648
0.206,0.0933684,0.0844753,0.0833962,0.0822956,0.0827122,0.0860864,0.118845,0.240839,0.401316,0.501043,0.552432,0.562243
0.103,0.0939038,0.0866789,0.0876662,0.0876618,0.08655,0.0884718,0.117172,0.237959,0.383061,0.486939,0.615078,0.619204
0.103,0.0942889,0.0861724,0.0852434,0.0853511,0.0853656,0.0944769,0.16282,0.360134,0.493127,0.608479,0.621409,0.630008
0.103,0.0946525,0.0892204,0.0896001,0.0920102,0.0881551,0.0959992,0.162061,0.405325,0.581398,0.633356,0.653604,0.647276
0.103,0.0940152,0.0851754,0.0836302,0.0833393,0.0827891,0.086116,0.113262,0.195939,0.363129,0.541165,0.590503,0.580534
0.103,0.0947618,0.0887763,0.08896,0.0868577,0.0871613,0.092674,0.136269,0.297154,0.375677,0.46341,0.563651,0.624943
0.103,0.0949578,0.0860413,0.0846495,0.0841979,0.0846088,0.0886592,0.119154,0.253005,0.383136,0.53479,0.613003,0.597494
