conc,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
0,0.0936326,0.107484,0.104364,0.101731,0.101855,0.118136,0.191934,0.37877,0.484911,0.593597,0.675023,0.730233
0,0.0941589,0.109189,0.10612,0.103823,0.1037,0.113491,0.170025,0.313608,0.464075,0.589638,0.666281,0.689835
0,0.0961445,0.123383,0.121677,0.120095,0.121005,0.13841,0.200325,0.349048,0.475331,0.58468,0.683116,0.726634
0,0.093668,0.124663,0.121405,0.119311,0.119499,0.134715,0.196611,0.356473,0.48029,0.591945,0.631916,0.70279
0,0.0934763,0.107398,0.104904,0.103662,0.103172,0.125613,0.245736,0.423538,0.586372,0.667687,0.713724,0.723857
0,0.094573,0.0979846,0.0953831,0.0938613,0.0947762,0.107636,0.168077,0.375737,0.551733,0.646207,0.636806,0.676931
0.825,0.0913906,0.0848512,0.0829032,0.0822504,0.0832142,0.0992034,0.189698,0.359895,0.482252,0.588618,0.60216,0.633722
0.825,0.0918216,0.0847456,0.0833781,0.0826453,0.0838436,0.0988725,0.190616,0.313632,0.432182,0.564672,0.615058,0.644119
0.825,0.0923961,0.0852981,0.0838243,0.0834792,0.0848469,0.0992823,0.167952,0.368903,0.53099,0.570783,0.603862,0.630927
0.825,0.0921421,0.0848504,0.0831612,0.0827753,0.0842477,0.0959117,0.160092,0.349163,0.542112,0.662486,0.660638,0.707236
0.825,0.0919581,0.0862607,0.0843971,0.0837095,0.0855366,0.108273,0.24533,0.468256,0.62041,0.646889,0.644613,0.663223
0.825,0.0921513,0.0854057,0.0832678,0.0824343,0.0843916,0.106857,0.197464,0.43474,0.589132,0.66224,0.678983,0.686487
0.4125,0.092177,0.0858663,0.0843635,0.0837749,0.0855219,0.108434,0.202553,0.452666,0.583771,0.663286,0.653633,0.690195
0.4125,0.0921642,0.0844981,0.0836881,0.0830669,0.0849862,0.104412,0.211115,0.349402,0.493929,0.620246,0.64208,0.651709
0.4125,0.0928862,0.0860334,0.0844747,0.0836955,0.085835,0.104447,0.181537,0.394313,0.615832,0.665498,0.672157,0.672056
0.4125,0.0924355,0.0844458,0.0834681,0.0829979,0.0846464,0.103212,0.173767,0.336584,0.49011,0.662035,0.70998,0.720471
0.4125,0.0936236,0.0866512,0.0845721,0.0839309,0.084773,0.0959353,0.155573,0.392157,0.571574,0.618612,0.616874,0.639966
0.4125,0.0944383,0.0869729,0.0848388,0.0840821,0.0849522,0.0940604,0.144686,0.307304,0.560738,0.648641,0.662828,0.672609
0.20625,0.0927365,0.0865958,0.0851423,0.0844778,0.0866947,0.101341,0.192465,0.394625,0.627376,0.680377,0.682323,0.682514
0.20625,0.092244,0.0857272,0.0848964,0.0843987,0.0853758,0.0997933,0.176507,0.329563,0.498072,0.576123,0.62574,0.624098
0.20625,0.0919475,0.0859351,0.0846615,0.0835849,0.0868187,0.101648,0.163767,0.309276,0.495383,0.665467,0.640425,0.657574
0.20625,0.0932637,0.0854662,0.0832028,0.0829775,0.0839804,0.0983886,0.172246,0.447624,0.605247,0.648,0.658368,0.676819
0.20625,0.0941947,0.0867501,0.0845176,0.0838955,0.0845384,0.0969044,0.151809,0.294916,0.528181,0.594242,0.627257,0.652765
0.20625,0.0942494,0.0865505,0.0844689,0.0837916,0.0855943,0.1037,0.22259,0.405899,0.587094,0.616233,0.629228,0.646508
0.103125,0.0948005,0.0893093,0.0880855,0.0876965,0.0882926,0.0986991,0.155513,0.332054,0.489834,0.618758,0.666897,0.682118
0.103125,0.091816,0.0856281,0.0840785,0.0835654,0.0847375,0.0989536,0.174788,0.345954,0.518282,0.620461,0.658131,0.681133
0.103125,0.0934371,0.087519,0.0874226,0.0861255,0.0860936,0.0971215,0.158034,0.309137,0.439088,0.583001,0.63494,0.671567
0.103125,0.0925504,0.085121,0.0830908,0.0825262,0.0838192,0.0956225,0.168279,0.387758,0.546644,0.640526,0.660272,0.673056
0.103125,0.0943627,0.0868778,0.085001,0.0841426,0.0853782,0.0964196,0.138272,0.282755,0.487512,0.585569,0.623498,0.661174
0.103125,0.0974947,0.0900276,0.0883608,0.0873796,0.0887036,0.102135,0.153652,0.278722,0.392776,0.525558,0.591405,0.62362
0.05156,0.0927321,0.0865448,0.0870526,0.0864655,0.0907692,0.10316,0.17496,0.384191,0.521751,0.616655,0.668029,0.687953
0.05156,0.092979,0.0856827,0.0842624,0.0838981,0.0847726,0.0975953,0.155632,0.308638,0.450186,0.588885,0.64484,0.67334
0.05156,0.0930088,0.0875462,0.0857608,0.0841369,0.0852811,0.101127,0.17587,0.396332,0.486036,0.58865,0.624756,0.652206
0.05156,0.0922239,0.0848031,0.0826795,0.0822319,0.083803,0.101742,0.188547,0.375068,0.553246,0.610896,0.627253,0.638914
0.05156,0.0930278,0.0860651,0.0838043,0.0831719,0.0849533,0.106627,0.186804,0.415342,0.543788,0.661607,0.658806,0.676447
0.05156,0.0945974,0.0864491,0.0846217,0.0838279,0.0856248,0.106402,0.19338,0.411462,0.524182,0.623086,0.653681,0.664557
0.02578,0.0921564,0.0868133,0.0866673,0.0871019,0.0894105,0.109389,0.197221,0.38868,0.519475,0.625732,0.646337,0.667227
0.02578,0.0924124,0.0848753,0.0834751,0.0829832,0.0841105,0.0989052,0.161818,0.323641,0.452501,0.560343,0.613549,0.672825
0.02578,0.0919097,0.0884858,0.0883053,0.0906339,0.0883601,0.098034,0.159597,0.338475,0.476721,0.609955,0.64232,0.692792
0.02578,0.0948147,0.0859069,0.0842883,0.084419,0.0863005,0.102479,0.175388,0.353492,0.475235,0.61715,0.634424,0.665577
0.02578,0.0919219,0.0846548,0.0841889,0.0836166,0.0844307,0.0965719,0.153162,0.312638,0.432604,0.519529,0.592799,0.614634
0.02578,0.0926126,0.0845466,0.0826964,0.08177,0.0821297,0.0915513,0.145973,0.316795,0.516872,0.569795,0.592465,0.610077
0.01289,0.0928011,0.121383,0.120247,0.117583,0.119481,0.136145,0.231515,0.413561,0.548393,0.652127,0.685998,0.733749
0.01289,0.0925191,0.127776,0.127597,0.124729,0.126132,0.140815,0.220133,0.506275,0.653302,0.693534,0.710562,0.730946
0.01289,0.0929145,0.115564,0.1135,0.110767,0.111299,0.122232,0.180687,0.352863,0.484794,0.569928,0.632311,0.670572
0.01289,0.0938218,0.0871551,0.0862321,0.0859242,0.0893002,0.101264,0.157818,0.287683,0.47279,0.646282,0.644397,0.690521
0.01289,0.0960302,0.0946047,0.0921357,0.0895287,0.0897603,0.107421,0.178805,0.38537,0.542336,0.591014,0.626677,0.654196
0.01289,0.0942682,0.0875904,0.0849851,0.0841956,0.0852969,0.0990068,0.169833,0.35548,0.540225,0.619149,0.658522,0.658802
