Rep,Well Position,Sample Name,quantity_d016S,quantity_d016S_2,quantity_d0intI1,quantity_d7_16s,quantity_d716S_2,quantity_d7_intI1,quantity_d0sul1,quantity_d7sul1,quantity_d0cintI1,quantity_d7cintI1
1,B1,6.4,19.99,58.3453331,0.28,4.55E+13,140864304,1.44E+11,0.69,4510558.5,16.24,11469936
1,B2,6.4,23.09,94.67697144,0.32,4.35E+13,133331656,1.51E+11,,5123869.5,20.14,10956553
2,B3,6.4,242.43,1435.585693,5.68,2.66E+13,83019016,73286606848,11.69,1290525,96.24,2671808
2,B4,6.4,290.74,1444.131714,10.7,2.73E+13,116319704,90376634368,25.79,1282296.5,108.03,2651078.5
3,B5,6.4,186.14,828.4447021,5.58,3.07E+13,115303664,58071474176,28.07,1241618.5,158.27,2754562.25
3,B6,6.4,224.74,765.9119873,6.17,2.91E+13,124533672,56875638784,15.64,1411623.75,56.62,2671493.5
4,B7,6.4,215.43,903.2145996,6.58,2.47E+13,97484448,37161574400,60.36,669755.94,105.75,2085835.75
4,B8,6.4,217.58,872.1256714,4,2.47E+13,100265120,49510539264,42.64,669501.63,88.78,2104872.5
5,B9,6.4,322.89,588.2472534,6.42,4.09E+13,136012720,83009347584,39.99,1086075.75,30.41,4216093.5
5,B10,6.4,282.34,693.3614502,7.36,4.02E+13,140794304,62865387520,6.08,1122396.25,56.86,4170268.5
1,B11,2.1,523.06,2212.401855,4.24,5.00E+13,162591760,1.76E+12,19.68,17587914,46.95,122022632
1,B12,2.1,483.97,2357.175537,10.71,4.60E+13,169899664,1.13E+12,47.9,19579706,88.8,129358560
2,C1,2.1,393.41,1550.177368,7.68,3.16E+13,100665360,6.01E+11,54.47,10121100,59.77,31928792
2,C2,2.1,474.63,1486.435913,11.87,3.14E+13,108944064,7.57E+11,68.11,11071021,116.02,29928524
3,C3,2.1,333.34,1758.996704,8.62,3.58E+13,130860256,6.31E+11,30.58,15408993,110.18,33264600
3,C4,2.1,338.19,1544.32251,8.49,3.19E+13,120365200,5.85E+11,35.61,14130742,98.63,33427868
4,C5,2.1,464.57,1174.686035,13.9,3.68E+13,95979456,2.40E+11,23.9,3660791.5,62.76,9772775
4,C6,2.1,365.82,1261.261597,12.78,3.76E+13,109314408,2.54E+11,26.27,3704057.25,74.49,10413980
5,C7,2.1,340.78,836.4205933,8.49,4.17E+13,140399856,2.16E+11,32.3,4071323.75,70.53,8624041
5,C8,2.1,339.73,813.4272461,8.41,5.50E+13,132221408,2.01E+11,28.29,4487547,67.05,9247638
1,C9,0.71,249.8,924.1902466,7.98,2.86E+13,80948616,1.18E+11,32.3,1928656.63,860.72,4896572
