antibiotic.class,aminoglycoside,bacitracin,beta-lactam,bleomycin,carbomycin,chloramphenicol,fosfomycin,fosmidomycin,fusaric-acid,fusidic-acid,kasugamycin,macrolide-lincosamide-streptogramin,multidrug,polymyxin,puromycin,quinolone,rifamycin,spectinomycin,sulfonamide,tetracenomycin_C,tetracycline,trimethoprim,unclassified,vancomycin
inoc 1,0.025221705,0.032984568,0.033154896,2.59E-05,0,0.002381324,0.000469796,0.004206539,0,0,0.001818961,0.022248122,0.185701895,0.001154649,0,0.001090846,0.000316585,0,0.005394953,0,0.042954431,0.000505583,0.014349511,0.002175111
inoc 2,0.020096343,0.026295201,0.028465457,0,0,0.002719925,0.000402284,0.003337944,0,0,0.00178198,0.023245789,0.147747069,0.001134555,0,0.000573977,0.000725317,0,0.004147034,0,0.048851086,0.000273911,0.011767997,0.004373427
inoc 3,0.021274764,0.026827981,0.028043894,0,0,0.002699143,0.000466833,0.002682161,0,0,0.001608113,0.022580825,0.140555306,0.001073628,0,0.000713556,0.000859424,0,0.003202802,0,0.049019018,0.00019187,0.011483051,0.004778568
0 1,0.259806194,0.071317502,0.183770535,1.65E-05,0,0.016901168,0.00583724,0.079204162,0,0,0.080080345,0.175175921,1.991474182,0.069762594,0,0.002789995,0,0,0.189539835,0,0.130161399,0.057515733,0.3591883,7.17E-06
0 2,0.031791468,0.073178887,0.126954335,0,0,0.005313468,0.011644454,0.086047802,0,0,0.079604209,0.165187505,2.091032979,0.069610038,0,0.000228218,0,0,0.022003713,0,0.077006061,0.009758812,0.360437525,0.00110847
0 3,0.008719771,0.072078585,0.095506628,0,0,0.002823158,0.001919859,0.077062699,0,0,0.067613874,0.145167574,2.042304173,0.068018294,0,0.000480012,0,0,0.002433448,0,0.075341433,0.000928501,0.412847979,0.003489704
6400 1,0.100805682,0.064289174,0.169324807,1.51E-05,0,0.034554219,0.004012504,0.070904216,0,0,0.064705031,0.145882482,2.008981387,0.059144839,0,0.023857177,1.42E-05,0,0.050982214,0,0.336923262,0.005132621,0.341333895,0.000712989
6400 2,0.006695866,0.036282512,0.051327871,8.03E-06,0,0.001665898,0.003013312,0.042109656,0,0,0.038598325,0.075984733,1.048649492,0.033974021,0,0.000224515,0,0,0.003780538,0,0.027499543,0.000950585,0.197787857,8.36E-05
6400 3,0.010775359,0.0858969,0.10194816,0,0,0.00058264,0.000526166,0.095827754,0,0,0.083014494,0.173034081,2.528264262,0.092336088,0,0.000256951,0,0,0.005956901,0,0.046279866,0.00230742,0.479192445,0.009547891
2100 1,0.038394998,0.014330448,0.037337703,0,0,0.002453902,0.000847295,0.017102206,0,0,0.015925474,0.03459936,0.419201294,0.014618351,0,0.000512982,0,0,0.019882035,0,0.022702328,0.015234626,0.074876312,1.68E-05
2100 2,0.059290595,0.040582419,0.092877784,0,0,0.003360048,0.005196398,0.047656576,0,0,0.044855143,0.087281007,1.079058853,0.03524165,0,0.000273551,1.57E-05,0,0.038926937,0,0.042756514,0.015355332,0.208057844,0.000246702
2100 3,0.150244938,0.085866164,0.23793718,0,0,0.023005911,0.007588622,0.101265492,0,0,0.088501665,0.183647762,2.411403182,0.083668467,0,0.010910489,0,0,0.09859038,0,0.148395946,0.028488897,0.486195261,0.011277006
710 1,0.02109904,0.06112846,0.083649067,2.69E-05,0,0.005279746,0.002290597,0.072143166,0,0,0.067492142,0.135693981,1.90067128,0.063242975,0,0.003294721,0,0,0.010525895,0,0.054291233,0.002193097,0.345457802,0
710 2,0.032745919,0.074481356,0.104434844,0,0,0.006454192,0.001935944,0.083324838,4.57E-05,0,0.0731433,0.150692012,2.114943267,0.073134214,0,0.000420115,1.49E-05,0,0.028094761,0,0.084795444,0.009479207,0.407143092,0.001633692
710 3,0.023908339,0.074644548,0.107367759,0,0,0.006345158,0.002957464,0.089132427,0,0,0.080107873,0.163130868,2.281564955,0.07846079,0,0.00021342,0,0,0.002091683,0,0.048377558,0.001382549,0.425764477,0.001281347
240 1,0.030610343,0.065864453,0.106411656,0,0,0.01753894,0.007401567,0.073635312,0,0,0.068299186,0.13732859,1.893374203,0.059395175,0,0.001325453,0.000358162,0,0.045303523,0,0.05212231,0.001885,0.328174432,0.000345108
240 2,0.06681269,0.086914528,0.132961379,0,0,0.006081867,0.003575182,0.095368785,0,0,0.087737716,0.189028055,2.443328631,0.082007692,0,0.000270306,0,0,0.029051506,0,0.101278881,0.018721469,0.438551205,7.75E-06
240 3,0.027856009,0.05284293,0.081568981,3.45E-05,0,0.019541064,0.00188956,0.06807941,0,0,0.056280605,0.140029526,1.89885941,0.059549302,0,9.46E-05,0,0,0.006311041,0,0.090352532,0.003668122,0.348592136,0.001913516
79 1,0.023377025,0.073256587,0.117266566,0,0,0.006688081,0.008127415,0.083698994,0,0,0.078311041,0.140176927,1.95464548,0.067201662,0,0.000680436,0.000614448,0,0.01099859,0,0.065679504,0.002383481,0.385312889,0.000510105
79 2,0.045325721,0.062486981,0.112446008,1.71E-05,0,0.012724742,0.004394659,0.077823405,0,0,0.071464098,0.146066471,1.870411212,0.063290125,0,0.000255253,0,0,0.03534244,0,0.067863641,0.01150696,0.361286438,0.00010753
79 3,0.030315063,0.069477453,0.126639113,0,0,0.015795358,0.00939973,0.084455003,0,0,0.072593032,0.155596747,1.95023025,0.060766215,0,0.004121342,0.000122401,0,0.01647576,0,0.096493797,0.011778808,0.405251209,0.003816535
26 1,0.159996328,0.083749659,0.161649813,0,0,0.00978059,0.011605862,0.094873963,0,0,0.089137868,0.1803708,2.276998875,0.074694784,0,0.005047807,0,0,0.115290025,0,0.085929564,0.034657381,0.439547171,0.000597401
26 2,0.010854996,0.080537551,0.127789992,0,0,0.006994677,0.016934888,0.100069971,0,0,0.092485391,0.162966863,2.341018873,0.077393786,0,0.001476949,1.99E-05,0,0.005653374,0,0.040646269,0.000929448,0.435662127,0
26 3,0.318770995,0.069820398,0.140873929,1.74E-05,0,0.006857845,0.002960533,0.078683159,0,0,0.069774779,0.145166977,1.929739887,0.066984474,0,0.000271933,0,0,0.201147763,0,0.090726354,0.096956926,0.377676918,0.000337472
8 1,0.120352924,0.066923731,0.135825832,0,0,0.008893019,0.007953051,0.082326637,0,0,0.074428538,0.14575578,1.940032935,0.066455017,0,0.000386512,0,0,0.081022452,0,0.077463578,0.035268898,0.386671188,6.04E-05
8 2,0.072669219,0.060232236,0.110354672,1.56E-05,0,0.023558528,0.002661947,0.07594591,0,0,0.065754754,0.154940279,2.034813413,0.067124793,0,0.000509776,0,0,0.086186548,0,0.077405849,0.010705646,0.345885686,0.014233087
8 3,0.163018336,0.076553737,0.264170484,0,0,0.018192109,0.0095282,0.087491433,0,0,0.081263109,0.175495576,1.944889378,0.067776228,0,0.001142812,0,0,0.0556966,0,0.22968766,0.059609587,0.405620976,0.001672306
