conc,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
6.4,0.0888543,0.0837505,0.0827732,0.0822886,0.0839034,0.0989034,0.156184,0.367047,0.518505,0.566386,0.579904,0.598213
6.4,0.0910448,0.0836683,0.081855,0.08187,0.083186,0.0882016,0.123319,0.260058,0.361237,0.446169,0.575781,0.609234
6.4,0.0906743,0.0838247,0.0825426,0.0818981,0.0819384,0.0922593,0.140789,0.305518,0.460793,0.586982,0.610003,0.623473
6.4,0.0906744,0.0836394,0.0822939,0.0822271,0.0826105,0.0881447,0.130271,0.300433,0.485759,0.646867,0.644623,0.66911
6.4,0.0900991,0.0846552,0.0833187,0.0825434,0.0824537,0.087513,0.121345,0.265032,0.382361,0.471562,0.57981,0.610137
6.4,0.0910269,0.0842686,0.082684,0.0817187,0.0819477,0.0867687,0.124523,0.277899,0.426847,0.512987,0.591217,0.636917
3.2,0.0901752,0.0834076,0.0828215,0.0818906,0.082451,0.0900827,0.138312,0.253185,0.382017,0.482793,0.568812,0.592899
3.2,0.0911453,0.0840313,0.0818656,0.0816359,0.0817329,0.0885206,0.122453,0.256585,0.382858,0.480299,0.595469,0.635714
3.2,0.0914039,0.0852613,0.0838091,0.0831655,0.0841488,0.0928947,0.146017,0.314953,0.479572,0.553395,0.598798,0.606066
3.2,0.0915876,0.0845631,0.0825214,0.0823395,0.0831547,0.0928857,0.141863,0.311444,0.501413,0.602601,0.641628,0.632107
3.2,0.0921272,0.0845587,0.0836236,0.0830105,0.0827353,0.0886967,0.132498,0.303412,0.473236,0.565886,0.612071,0.626178
3.2,0.0929747,0.0853125,0.0833613,0.0821424,0.0833585,0.0921131,0.142416,0.368941,0.548745,0.624428,0.625159,0.62751
1.6,0.0913964,0.0846616,0.0836894,0.083513,0.0837008,0.0919779,0.132002,0.272321,0.407902,0.528327,0.595927,0.627778
1.6,0.0914697,0.084967,0.0830662,0.082469,0.0834014,0.0907487,0.146095,0.34763,0.418724,0.629929,0.667863,0.636652
1.6,0.0921328,0.0840497,0.0833561,0.084212,0.0846812,0.0924983,0.132749,0.249737,0.445776,0.564638,0.632415,0.677563
1.6,0.0922401,0.0852564,0.083469,0.0827617,0.0834342,0.0911217,0.135513,0.361781,0.567926,0.64488,0.645334,0.671113
1.6,0.091916,0.0856563,0.084081,0.0833863,0.0841719,0.0934408,0.141928,0.302755,0.416187,0.578352,0.643789,0.633547
1.6,0.0927388,0.0856698,0.0833954,0.0828133,0.0839059,0.0912745,0.133581,0.314758,0.480631,0.604601,0.624796,0.618227
0.8,0.0911257,0.0867186,0.0850225,0.0854495,0.0872814,0.0978945,0.153263,0.303748,0.47518,0.59801,0.626127,0.651883
0.8,0.0917182,0.0842232,0.0825293,0.0816535,0.0831853,0.0885367,0.127835,0.381345,0.544694,0.635305,0.652224,0.642651
0.8,0.0912689,0.0856208,0.084655,0.0845921,0.0849993,0.0917828,0.141489,0.286108,0.444972,0.568491,0.616745,0.649541
0.8,0.0917111,0.0848405,0.0832888,0.0820515,0.0826112,0.0907319,0.131592,0.329136,0.524357,0.634145,0.638865,0.642482
0.8,0.093185,0.0868548,0.0851191,0.0844212,0.0849153,0.0925889,0.145034,0.32652,0.470374,0.561483,0.611682,0.617321
0.8,0.0940192,0.0870288,0.0856123,0.0848363,0.0848157,0.0901136,0.138902,0.366415,0.572713,0.638396,0.627681,0.630561
0.4,0.090869,0.085623,0.0886454,0.0849583,0.0870918,0.0959097,0.142373,0.29195,0.418969,0.562408,0.610926,0.61798
0.4,0.0910656,0.0838234,0.0821618,0.0813134,0.0819914,0.0871187,0.122027,0.268032,0.438104,0.613251,0.655027,0.660032
0.4,0.090956,0.0842608,0.0851773,0.0878603,0.0869397,0.0925838,0.154068,0.31918,0.430331,0.539168,0.601213,0.630617
0.4,0.0917205,0.0849516,0.083256,0.0822993,0.0829136,0.0913461,0.149391,0.412726,0.540911,0.626915,0.627943,0.605654
0.4,0.0919641,0.0858985,0.0841438,0.0831404,0.0836438,0.0908021,0.13913,0.338867,0.498881,0.644431,0.658742,0.672679
0.4,0.0926938,0.0856093,0.0839973,0.082786,0.0831854,0.0896588,0.123332,0.273909,0.37529,0.474428,0.599737,0.615127
0.2,0.0932086,0.0890089,0.0895172,0.0882561,0.0930367,0.110782,0.155604,0.364309,0.537893,0.645947,0.661508,0.709661
0.2,0.0919365,0.0854082,0.0840366,0.0836558,0.0836068,0.0901048,0.130041,0.269653,0.394035,0.536214,0.636912,0.656272
0.2,0.0912633,0.0880078,0.0834078,0.0823628,0.0831919,0.0898589,0.134884,0.301872,0.483222,0.549934,0.652819,0.645936
0.2,0.0919199,0.0838164,0.0820901,0.0823343,0.0824126,0.0883257,0.136298,0.322865,0.463633,0.554426,0.589423,0.621103
0.2,0.0918226,0.0853223,0.0848268,0.0848631,0.0848291,0.0895932,0.143187,0.306508,0.413182,0.543662,0.612453,0.632144
0.2,0.0922402,0.0838717,0.082797,0.0822259,0.082596,0.0946498,0.145851,0.376282,0.510765,0.60971,0.656342,0.670063
0.1,0.0910045,0.124255,0.123867,0.123822,0.124048,0.133348,0.171474,0.298065,0.44515,0.571932,0.685073,0.683424
0.1,0.0924155,0.126255,0.122008,0.121453,0.122423,0.131675,0.175073,0.331026,0.437715,0.542102,0.598009,0.626866
0.1,0.0919486,0.116025,0.113192,0.112294,0.11327,0.120506,0.162642,0.361469,0.593082,0.685276,0.69384,0.696654
0.1,0.0920775,0.0925812,0.0866638,0.0846272,0.0858232,0.0935907,0.137954,0.307147,0.423347,0.485901,0.588906,0.629297
0.1,0.0927961,0.0932948,0.0932601,0.0925635,0.0921981,0.100782,0.137284,0.258603,0.403434,0.508963,0.619036,0.645413
0.1,0.093258,0.085782,0.0841631,0.0839421,0.0834788,0.0892388,0.12682,0.319812,0.502091,0.610803,0.642897,0.661419
0,0.0915906,0.106931,0.103575,0.102629,0.102296,0.109137,0.148339,0.292241,0.480944,0.602423,0.620476,0.633394
0,0.0919268,0.106847,0.103622,0.102399,0.103316,0.114637,0.162546,0.35321,0.458332,0.527845,0.639968,0.655733
0,0.093297,0.122919,0.121875,0.11892,0.120254,0.132061,0.185393,0.355665,0.602291,0.699446,0.694819,0.69734
0,0.0935762,0.12798,0.125351,0.124298,0.124832,0.133283,0.190957,0.433553,0.545806,0.684086,0.684933,0.712842
