conc,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
1,0.0973123,0.0894152,0.0866809,0.0858703,0.0865972,0.0973025,0.170694,0.433601,0.621301,0.680145,0.634902,0.661124
1,0.0977026,0.090832,0.0903259,0.0899081,0.0898578,0.100544,0.166202,0.296528,0.436908,0.58053,0.608031,0.633386
1,0.0983366,0.0917247,0.0899293,0.089584,0.089792,0.102461,0.182754,0.385072,0.582187,0.667104,0.665461,0.695703
1,0.0990536,0.0914215,0.0908282,0.0902224,0.0902606,0.102532,0.173116,0.340315,0.472097,0.602044,0.678059,0.710972
1,0.0988701,0.0919788,0.090237,0.089304,0.0894184,0.106519,0.196537,0.410187,0.563076,0.617891,0.660124,0.68418
1,0.0987183,0.0903257,0.0888595,0.0884863,0.089024,0.104994,0.170225,0.313607,0.540942,0.640824,0.637512,0.626442
2,0.0980009,0.0914633,0.0895832,0.0884429,0.0892922,0.102519,0.180651,0.401823,0.576106,0.664641,0.659102,0.727381
2,0.0986341,0.091635,0.0902596,0.0901556,0.0906273,0.101413,0.178309,0.383482,0.566485,0.640501,0.673237,0.714695
2,0.101244,0.0960569,0.093971,0.09238,0.0927396,0.103978,0.165798,0.33875,0.474567,0.597171,0.645804,0.666463
2,0.099072,0.091443,0.0896514,0.0895208,0.0901805,0.106763,0.197317,0.414977,0.56899,0.708742,0.693832,0.74464
2,0.099042,0.0924466,0.0906979,0.0901899,0.0913115,0.106383,0.179407,0.319752,0.444181,0.611584,0.689789,0.73797
2,0.100026,0.0916396,0.0903111,0.0900744,0.0907632,0.100315,0.17939,0.432983,0.61605,0.68776,0.670604,0.686924
3,0.0981899,0.0937995,0.0928651,0.0913498,0.0913135,0.104825,0.168202,0.407277,0.502943,0.655249,0.691901,0.719845
3,0.0983233,0.0907187,0.0892964,0.0890978,0.0894737,0.100702,0.171413,0.350717,0.463878,0.576015,0.652618,0.692163
3,0.0988975,0.0927344,0.0914652,0.0902291,0.0898499,0.10201,0.170425,0.354832,0.473408,0.632073,0.681709,0.733574
3,0.0998407,0.092074,0.0903535,0.0902449,0.090332,0.1016,0.15874,0.358159,0.479694,0.591866,0.644733,0.690187
3,0.100213,0.0931629,0.0921637,0.0913828,0.0916271,0.10157,0.159326,0.32018,0.495671,0.64586,0.711518,0.740346
3,0.102225,0.0942113,0.0923701,0.0913693,0.0935997,0.112123,0.19035,0.408568,0.530859,0.693257,0.731288,0.771454
4,0.102124,0.100009,0.100977,0.106708,0.0996227,0.114394,0.195914,0.425383,0.592594,0.692641,0.719408,0.768388
4,0.0987165,0.0914689,0.0891102,0.0889425,0.0893818,0.099664,0.152589,0.3064,0.406591,0.510138,0.601759,0.67246
4,0.0992534,0.0916559,0.0909359,0.0900344,0.0900959,0.104562,0.190061,0.41356,0.570768,0.650404,0.643077,0.687007
