Sample,Rep,d0_intI1quantity,d0_16Squantity,d7_intI1quantity,d7_16Squantity,d0_sul1quantity,d7_sul1quantity,d0_cintI1quantity,d7_cintI1quantity
5400,1,101.28,1916.99,16021409,102118504,10.685,3628574,24.964,11430994
5400,1,46.01,1517.79,12687985,96348360,6.203,3793345.75,79.194,11295682
5400,2,67.64,3296.83,14053874,117243512,7.369,4711615.5,31.216,13832500
5400,2,78.89,3305.84,16170977,194816624,6.68,4857306,44.082,13769593
5400,3,136.11,3005.91,1530319.13,99359576,8.221,383485.5,126.382,1414841.38
5400,3,84.76,2901.78,1581641.25,104514336,9.437,386204.031,29.32,1425411.25
5400,4,19.86,2267.33,4812496.5,82081368,5.853,1353084.5,26.361,3896987.5
5400,4,50.11,938.24,3483589,77326464,3.744,1339580.625,22.62,3909017
5400,5,109.64,2333.45,11000218,102095512,7.8,3496460,22.969,10260742
5400,5,78.14,3114.31,11045426,109715832,1.909,3616046.5,21.439,10963064
1800,1,123.67,3124.84,19691716,201116032,5.776,6783038.5,30.513,18479404
1800,1,99.27,3099.46,18313646,212844480,12.233,6769761,30.436,18848762
1800,2,89.86,3894.04,4520729.5,108133016,5.978,1340400.875,25.905,4037422.75
1800,2,72.9,5074.99,4654180,97711144,6.879,1303820.375,19.263,3967722.5
1800,3,164.01,5055.64,14912285,109143920,9.633,5585596.5,39.297,15811484
1800,3,126.82,4883.81,17265166,116905160,5.444,5348238,43.439,15371719
1800,4,63.83,2385.19,4955654.5,110486600,3.894,1356636.5,14.823,4026760.25
1800,4,34.83,2215.46,5642130.5,114780080,1.589,1283987.5,7.638,4030928.25
1800,5,14.43,1363.34,2472652,111675416,1.248,705048.375,7.63,2041996.5
1800,5,46.38,1102.35,2590827,112762464,1.949,700790.625,18.011,2028213.88
604,1,65.86,2502.29,2042449.75,89091968,13.788,329665.688,45.379,1666697.88
604,1,71.19,2596.29,1997897.25,87719776,13.878,324681.281,46.247,1681952.88
604,2,190.26,6385.24,7169842.5,68848808,4.3,908125.75,43.388,5313509
604,2,202.02,6632.08,6763296.5,63321000,10.018,921901.313,41.779,5506751.5
604,3,104.69,5417.69,13402152,92940624,4.863,895888.688,73.799,8458878
604,3,99.87,5948.29,11221623,99143352,3.658,821819.563,26.952,8307845.5
604,4,104.19,4913.03,2808145.75,106242024,8.323,887669.938,47.396,2226259.75
