Rep,Sample,quantity_d016S,quantity_d0intI1,quantity_d716S,quantity_d7intI1,quantitity_d7_cintI1,quantity_d7_sul1,quantity_d0_cintI1,quantity_d0_sul1
1,3300,300.936,13.771,42301780.000,498145.031,8062421.000,1857529.750,90.452,14.961
1,3300,457.962,25.647,42337928.000,469323.125,8298532.000,1850352.750,76.127,12.683
2,3300,167.587,5.785,42119620.000,119069.398,1746844.750,369199.125,26.760,0.003
2,3300,136.660,2.400,44169224.000,110576.289,1804469.000,370400.500,9.742,1.152
3,3300,271.494,3.947,40389924.000,205347.313,3613184.750,152457.375,43.457,0.033
3,3300,312.320,9.073,42193180.000,195730.813,3359730.750,151562.469,31.520,3.085
4,3300,162.839,1.008,50419580.000,132270.766,2089142.125,472942.625,12.819,0.007
4,3300,165.254,0.717,51884312.000,121039.750,2039392.375,475303.219,7.677,3.386
5,3300,314.018,5.052,48086716.000,183852.234,2368561.750,586248.000,51.071,7.147
5,3300,307.694,4.026,49736460.000,187832.078,2398635.000,627632.250,52.995,5.504
1,1100,284.437,4.793,48367968.000,668902.875,12419560.000,2973238.000,21.518,3.246
1,1100,261.320,4.707,48130700.000,742448.188,12381767.000,2911460.750,47.879,7.299
2,1100,469.131,12.314,40807288.000,497876.656,11576422.000,1794005.625,72.644,3.404
2,1100,460.917,10.416,41045296.000,659069.125,10932507.000,1641628.125,57.140,1.707
3,1100,255.770,7.433,34734896.000,381155.344,5759164.500,1344003.750,41.664,2.241
3,1100,315.338,5.537,38157860.000,340775.000,5720877.000,1312497.875,29.834,9.863
4,1100,352.019,10.549,42213604.000,253549.984,3972186.250,707622.313,50.756,7.692
4,1100,358.793,8.321,41670756.000,251893.813,4255730.500,760190.750,46.996,9.695
5,1100,396.268,5.036,42370384.000,112396.500,1722396.375,562629.750,58.679,0.039
5,1100,441.590,3.337,41032632.000,108904.133,1598045.875,570829.188,29.954,5.897
1,367,598.819,8.021,41035756.000,63683.723,993911.688,196849.781,60.633,12.161
1,367,610.684,8.502,41138048.000,56784.609,1012544.188,211449.516,90.330,10.140
2,367,341.415,19.717,36595052.000,333896.656,4822551.000,1239687.000,148.260,5.522
2,367,364.333,16.492,40463136.000,346217.906,4663034.000,1263598.500,66.209,6.948
3,367,251.580,2.987,44606300.000,913477.438,15967630.000,3553876.000,20.833,2.825
3,367,233.795,1.999,42475728.000,796275.563,15111518.000,3513040.500,21.377,4.963
4,367,455.535,4.759,31265006.000,236024.891,3059745.750,748713.688,60.623,6.352
4,367,435.578,8.767,35295772.000,220652.391,3179675.750,762319.063,33.250,6.298
5,367,429.715,3.752,39729176.000,156786.984,2374766.500,627310.813,52.470,2.730
5,367,432.677,7.769,33302422.000,118531.781,2423663.000,613679.438,45.185,4.154
1,122,421.699,9.257,36336824.000,412419.906,6355158.000,1516743.875,34.820,3.871
1,122,419.171,5.823,34408164.000,415560.281,6249409.500,1508508.250,55.470,0.068
2,122,943.897,17.920,35632448.000,99742.219,1432136.375,352247.563,93.960,14.785
2,122,968.148,18.176,36142780.000,102662.133,1476342.750,364531.219,67.836,14.145
3,122,474.210,10.434,34901980.000,957227.313,16286377.000,3865950.000,39.524,7.322
3,122,487.195,7.989,35978412.000,705966.188,16769025.000,4224393.500,40.518,4.790
4,122,585.967,11.573,33597584.000,71627.031,1185599.125,246238.484,79.963,1.331
4,122,553.094,7.563,32496234.000,57638.313,1099311.875,243296.859,62.616,5.342
5,122,759.252,12.750,32753202.000,175976.578,3114912.000,817399.125,157.806,15.143
5,122,112.266,11.542,33233818.000,194807.703,2993082.250,787096.250,134.129,15.892
1,40.7,1041.758,19.679,34243312.000,177400.281,2039614.250,506520.531,93.950,12.069
1,40.7,1043.105,18.072,30284882.000,123632.789,2133274.750,520683.719,141.335,2.681
2,40.7,156.121,1.822,44573068.000,268681.875,4979156.000,980655.125,6.138,2.363
2,40.7,168.027,2.893,43778168.000,320470.406,5058249.500,977933.563,22.871,1.093
3,40.7,776.623,17.319,30283054.000,13937.455,152556.813,53703.129,80.990,9.796
3,40.7,743.631,12.807,34355212.000,13708.892,155779.141,51717.102,46.663,7.163
4,40.7,637.109,6.464,29397534.000,137907.250,1973921.500,470949.688,75.480,5.501
4,40.7,528.236,8.781,19227334.000,178931.891,2004697.500,470794.156,53.621,6.184
5,40.7,1011.921,27.892,42527056.000,130766.586,1929410.875,459822.250,141.861,24.065
5,40.7,1203.887,34.083,49080268.000,103806.906,1757520.375,430721.563,190.732,18.453
1,13.6,658.397,5.907,45242268.000,1213359.125,17615712.000,3661471.000,34.444,2.959
1,13.6,687.743,8.524,45840844.000,1099580.750,17578956.000,3544790.500,33.569,3.665
2,13.6,784.901,8.502,45552744.000,376926.781,5968527.000,770847.500,40.047,4.511
2,13.6,756.655,9.001,44521380.000,352643.125,5910320.000,793668.500,74.286,2.248
3,13.6,830.731,9.484,42528960.000,1359801.625,21625884.000,4820298.000,41.272,5.432
3,13.6,841.535,13.494,43083276.000,1146533.750,22457902.000,4672858.500,38.656,6.256
4,13.6,1034.465,21.020,45562260.000,2170382.000,35953592.000,9110471.000,116.258,8.131
4,13.6,977.049,19.278,47560500.000,2066773.500,36967296.000,9451472.000,140.598,9.608
5,13.6,928.876,15.167,43401600.000,250350.016,3243618.500,741160.313,81.507,8.865
5,13.6,965.955,16.904,45328132.000,209429.531,2813823.500,795525.063,76.871,7.783
1,4.5,847.948,12.305,46611312.000,461927.313,4647571.000,616577.000,38.107,11.660
1,4.5,876.359,8.788,44300108.000,392394.938,4653805.000,622519.250,14.309,4.413
2,4.5,618.469,10.448,27990592.000,132350.922,1587834.625,222695.875,82.266,7.758
2,4.5,628.928,14.679,23067216.000,91951.578,1589895.000,223406.969,68.456,15.167
3,4.5,764.058,12.163,41016268.000,1173881.125,18868306.000,3572372.500,90.380,12.549
3,4.5,700.622,21.138,40441132.000,1162412.375,19367150.000,3631289.250,53.984,5.061
4,4.5,671.976,19.845,40611748.000,185943.313,2849240.250,571124.625,193.204,11.373
4,4.5,629.623,18.140,37149992.000,184337.547,2617188.750,573048.125,207.717,7.383
5,4.5,653.304,9.742,33336830.000,184515.484,2309933.000,398137.406,95.948,10.539
5,4.5,697.283,14.389,30635880.000,186641.484,2305410.750,458470.406,73.863,4.673
1,0,867.924,22.448,22493398.000,263843.438,3278236.750,1411804.000,115.412,10.890
1,0,854.910,19.112,32866182.000,323740.188,3036126.250,1303670.500,141.561,7.491
2,0,877.971,6.408,30648334.000,1313699.875,18916848.000,5187791.000,48.857,16.815
2,0,710.713,9.540,30648548.000,1131613.000,18232274.000,4791512.000,77.650,10.544
3,0,571.895,11.028,39033712.000,120583.938,2008586.750,633823.313,43.276,3.638
3,0,511.183,6.358,43100860.000,116382.117,1977190.500,632681.938,46.477,6.774
4,0,839.996,13.231,20644980.000,104853.242,1516050.625,386213.313,54.995,15.135
4,0,798.532,11.052,20835724.000,109902.844,1523315.875,371864.281,42.782,6.508
5,0,497.166,7.729,28669884.000,51700.637,749512.000,119383.344,25.264,0.419
5,0,438.038,8.169,28910214.000,56142.645,714001.500,113064.875,14.472,5.171
